t,mpw
0.37,0.00025
0.3705,0.00025
0.371,0.00025
0.3715,0.00025
0.372,0.00025
0.3725,0.00025
0.373,0.00025
0.3735,0.00025
0.374,0.00025
0.3745,0.00025
0.375,0.00025
0.3755,0.00025
0.376,0.00025
0.3765,0.00025
0.377,0.00025
0.3775,0.00025
0.378,0.00025
0.3785,0.00025
0.379,0.00025
0.3795,0.00025
0.38,0.000248
0.3805,0.00025
0.381,0.00025
0.3815,0.00025
0.382,0.00025
0.3825,0.00025
0.383,0.000248
0.3835,0.000249
0.384,0.00025
0.3845,0.00025
0.385,0.00025
0.3855,0.00025
0.386,0.000248
0.3865,0.000248
0.387,0.000249
0.3875,0.00025
0.388,0.00025
0.3885,0.000249
0.389,0.000248
0.3895,0.000248
0.39,0.000248
0.3905,0.000248
0.391,0.000249
0.3915,0.000248
0.392,0.000248
0.3925,0.000248
0.393,0.000248
0.3935,0.000248
0.394,0.000248
0.3945,0.000248
0.395,0.000248
0.3955,0.000248
0.396,0.000248
0.3965,0.000248
0.397,0.000248
0.3975,0.000248
0.398,0.000248
0.3985,0.000248
0.399,0.000248
0.3995,0.000248
0.4,0.000248
0.4005,0.000233
0.401,0.000271
0.4015,0.000274
0.402,0.000268
0.4025,0.000266
0.403,0.000264
0.4035,0.000263
0.404,0.000259
0.4045,0.000257
0.405,0.000255
0.4055,0.000254
0.406,0.000253
0.4065,0.000253
0.407,0.000253
0.4075,0.000252
0.408,0.000252
0.4085,0.000252
0.409,0.000252
0.4095,0.000252
0.41,0.000252
0.4105,0.000252
0.411,0.000252
0.4115,0.000252
0.412,0.000252
0.4125,0.000252
0.413,0.000252
0.4135,0.000252
0.414,0.000252
0.4145,0.000251
0.415,0.00025
0.4155,0.000251
0.416,0.00025
0.4165,0.00025
0.417,0.000251
0.4175,0.00025
0.418,0.00025
0.4185,0.00025
0.419,0.00025
0.4195,0.00025
0.42,0.00025
0.4205,0.00025
0.421,0.00025
0.4215,0.00025
0.422,0.00025
0.4225,0.00025
0.423,0.00025
0.4235,0.00025
0.424,0.00025
0.4245,0.00025
0.425,0.00025
0.4255,0.00025
0.426,0.00025
0.4265,0.00025
0.427,0.00025
0.4275,0.00025
0.428,0.00025
0.4285,0.00025
0.429,0.00025
0.4295,0.00025
0.43,0.00025
0.4305,0.00025
0.431,0.00025
0.4315,0.00025
0.432,0.00025
0.4325,0.00025
0.433,0.00025
0.4335,0.00025
0.434,0.00025
0.4345,0.00025
0.435,0.00025
0.4355,0.00025
0.436,0.000249
0.4365,0.00025
0.437,0.000249
0.4375,0.00025
0.438,0.00025
0.4385,0.00025
0.439,0.000248
0.4395,0.000248
0.44,0.000248
0.4405,0.000248
0.441,0.000249
0.4415,0.000248
0.442,0.000248
0.4425,0.000248
0.443,0.000248
0.4435,0.000248
0.444,0.000248
0.4445,0.000248
0.445,0.000248
0.4455,0.000248
0.446,0.000248
0.4465,0.000248
0.447,0.000248
0.4475,0.000248
0.448,0.000248
0.4485,0.000248
0.449,0.000248
0.4495,0.000248
0.45,0.000248
0.4505,0.000233
0.451,0.000271
0.4515,0.000274
0.452,0.000269
0.4525,0.000266
0.453,0.000264
0.4535,0.000263
0.454,0.000259
0.4545,0.000258
0.455,0.000256
0.4555,0.000254
0.456,0.000253
0.4565,0.000253
0.457,0.000253
0.4575,0.000252
0.458,0.000252
0.4585,0.000252
0.459,0.000252
0.4595,0.000252
0.46,0.000252
0.4605,0.000252
0.461,0.000252
0.4615,0.000252
0.462,0.000252
0.4625,0.000252
0.463,0.000252
0.4635,0.000252
0.464,0.000252
0.4645,0.00025
0.465,0.000251
0.4655,0.000251
0.466,0.000251
0.4665,0.000251
0.467,0.000251
0.4675,0.00025
0.468,0.00025
0.4685,0.00025
0.469,0.00025
0.4695,0.00025
0.47,0.00025
0.4705,0.00025
0.471,0.00025
0.4715,0.00025
0.472,0.00025
0.4725,0.00025
0.473,0.00025
0.4735,0.00025
0.474,0.00025
0.4745,0.00025
0.475,0.00025
0.4755,0.00025
0.476,0.00025
0.4765,0.00025
0.477,0.00025
0.4775,0.00025
0.478,0.00025
0.4785,0.00025
0.479,0.00025
0.4795,0.00025
0.48,0.00025
0.4805,0.00025
0.481,0.00025
0.4815,0.00025
0.482,0.00025
0.4825,0.00025
0.483,0.00025
0.4835,0.00025
0.484,0.00025
0.4845,0.00025
0.485,0.00025
0.4855,0.00025
0.486,0.000249
0.4865,0.000249
0.487,0.00025
0.4875,0.00025
0.488,0.00025
0.4885,0.00025
0.489,0.000249
0.4895,0.000248
0.49,0.000248
0.4905,0.000248
0.491,0.00025
0.4915,0.00025
0.492,0.000248
0.4925,0.000248
0.493,0.000248
0.4935,0.000248
0.494,0.000248
0.4945,0.000248
0.495,0.000248
0.4955,0.000248
0.496,0.000248
0.4965,0.000248
0.497,0.000248
0.4975,0.000248
0.498,0.000248
0.4985,0.000248
0.499,0.000248
0.4995,0.000248
0.5,0
